the_geom*GID*the_geom2*GID2*url*result
MULTIPOINT ((-56.1544008241404 -34.9163325538896))*280*MULTIPOINT ((-56.1521578242584 -34.9145193786522))* 182*http://localhost:5000/route/v1/driving/-56.1544008241404,-34.9163325538896;-56.1521578242584,-34.9145193786522                                                    *{"code":"Ok","routes":[{"geometry":"|qbtEltvuIoHoDgAYaA?dAiG","legs":[{"steps":[],"distance":392.4,"duration":45.9,"summary":"","weight":45.9}],"distance":392.4,"duration":45.9,"weight_name":"routability","weight":45.9}],"waypoints":[{"hint":"ahMCgJsTAoA2AAAAIAAAAAAAAAAAAAAAAn1ZQnyf_EEAAAAAAAAAADYAAAAgAAAAAAAAAAAAAAArAAAAmSan_C446_3fJqf8Ezjr_QAAjwFldOdz","distance":7.062744,"name":"José Ellauri","location":[-56.154471,-34.916306]},{"hint":"JBMCgP___38iAAAAVgAAAAAAAAAAAAAA5oAIQjBlT0IAAAAAAAAAACIAAABWAAAAAAAAAAAAAAArAAAAvC-n_G0_6_2iL6f8KT_r_QAAvwZldOdz","distance":7.908907,"name":"Bulevar España","location":[-56.152132,-34.914451]}]}
MULTIPOINT ((-56.1522565833265 -34.9162214055071))*330*MULTIPOINT ((-56.1521578242584 -34.9145193786522))* 182*http://localhost:5000/route/v1/driving/-56.1522565833265,-34.9162214055071;-56.1521578242584,-34.9145193786522                                                    *{"code":"Ok","routes":[{"geometry":"pqbtEzevuI{IqBo@pDPDPgA","legs":[{"steps":[],"distance":329.4,"duration":48.5,"summary":"","weight":49.5}],"distance":329.4,"duration":48.5,"weight_name":"routability","weight":49.5}],"waypoints":[{"hint":"KhMCgP___38fAAAAdgAAAAAAAAAAAAAA1yf9QT4WrUIAAAAAAAAAAB8AAAB2AAAAAAAAAAAAAAArAAAAsC-n_Go46_0_L6f8gzjr_QAA_wBldOdz","distance":10.691194,"name":"Tomás Diago","location":[-56.152144,-34.916246]},{"hint":"JBMCgP___38iAAAAVgAAAAAAAAAAAAAA5oAIQjBlT0IAAAAAAAAAACIAAABWAAAAAAAAAAAAAAArAAAAvC-n_G0_6_2iL6f8KT_r_QAAvwZldOdz","distance":7.908907,"name":"Bulevar España","location":[-56.152132,-34.914451]}]}
MULTIPOINT ((-56.1491847106682 -34.9121509538295))*302*MULTIPOINT ((-56.1521578242584 -34.9145193786522))* 182*http://localhost:5000/route/v1/driving/-56.1491847106682,-34.9121509538295;-56.1521578242584,-34.9145193786522                                                    *{"code":"Ok","routes":[{"geometry":"fxatEzsuuIf@e@`EbEdBqAhCrI{@~EPDPgA","legs":[{"steps":[],"distance":561.2,"duration":73.4,"summary":"","weight":74.4}],"distance":561.2,"duration":73.4,"weight_name":"routability","weight":74.4}],"waypoints":[{"hint":"8wkCgP___39nAAAAdwAAAAAAAAANAAAA8qPOQlCwe0EAAAAAC-hKQWcAAAB3AAAAAAAAAA0AAAArAAAA9jqn_DxI6_0_O6f8aUjr_QAA7whldOdz","distance":8.331493,"name":"José Martí","location":[-56.149258,-34.912196]},{"hint":"JBMCgP___38iAAAAVgAAAAAAAAAAAAAA5oAIQjBlT0IAAAAAAAAAACIAAABWAAAAAAAAAAAAAAArAAAAvC-n_G0_6_2iL6f8KT_r_QAAvwZldOdz","distance":7.908907,"name":"Bulevar España","location":[-56.152132,-34.914451]}]}
MULTIPOINT ((-56.1494868834106 -34.9112562589166))*316*MULTIPOINT ((-56.1521578242584 -34.9145193786522))* 182*http://localhost:5000/route/v1/driving/-56.1494868834106,-34.9112562589166;-56.1521578242584,-34.9145193786522                                                    *{"code":"Ok","routes":[{"geometry":"|qatEtuuuIaDqFpCoClB|C`@LrHxHdBqAhCrI{@~EPDPgA","legs":[{"steps":[],"distance":977.6,"duration":118,"summary":"","weight":119}],"distance":977.6,"duration":118,"weight_name":"routability","weight":119}],"waypoints":[{"hint":"8gkCgP___38tAAAAVgAAAAAAAAAAAAAAQco4QrwXIUIAAAAAAAAAAC0AAABWAAAAAAAAAAAAAAArAAAA0Tmn_ChM6_0ROqf86Evr_QAALwNldOdz","distance":9.198195,"name":"Pedro Francisco Berro","location":[-56.149551,-34.911192]},{"hint":"JBMCgP___38iAAAAVgAAAAAAAAAAAAAA5oAIQjBlT0IAAAAAAAAAACIAAABWAAAAAAAAAAAAAAArAAAAvC-n_G0_6_2iL6f8KT_r_QAAvwZldOdz","distance":7.908907,"name":"Bulevar España","location":[-56.152132,-34.914451]}]}
MULTIPOINT ((-56.1494192671062 -34.9108877202295))*319*MULTIPOINT ((-56.1521578242584 -34.9145193786522))* 182*http://localhost:5000/route/v1/driving/-56.1494192671062,-34.9108877202295;-56.1521578242584,-34.9145193786522                                                    *{"code":"Ok","routes":[{"geometry":"toatEjtuuIyBtB~AnCrI{H`EbEdBqAhCrI{@~EPDPgA","legs":[{"steps":[],"distance":941.3,"duration":122,"summary":"","weight":123}],"distance":941.3,"duration":122,"weight_name":"routability","weight":123}],"waypoints":[{"hint":"gQkCgP___38SAAAAaQAAAAAAAAAAAAAABKGTQXo1rUIAAAAAAAAAABIAAABpAAAAAAAAAAAAAAArAAAAqTqn_I9N6_1VOqf8WE3r_QAAHxRldOdz","distance":9.805077,"name":"Ramón Masini","location":[-56.149335,-34.910833]},{"hint":"JBMCgP___38iAAAAVgAAAAAAAAAAAAAA5oAIQjBlT0IAAAAAAAAAACIAAABWAAAAAAAAAAAAAAArAAAAvC-n_G0_6_2iL6f8KT_r_QAAvwZldOdz","distance":7.908907,"name":"Bulevar España","location":[-56.152132,-34.914451]}]}
MULTIPOINT ((-56.1479764626802 -34.9120991304348))*303*MULTIPOINT ((-56.1521578242584 -34.9145193786522))* 182*http://localhost:5000/route/v1/driving/-56.1479764626802,-34.9120991304348;-56.1521578242584,-34.9145193786522                                                    *{"code":"Ok","routes":[{"geometry":"zwatEfluuIoApAPDdHlHLJdBqAhCrI{@~EPDPgA","legs":[{"steps":[],"distance":684.4,"duration":91.9,"summary":"","weight":92.9}],"distance":684.4,"duration":91.9,"weight_name":"routability","weight":92.9}],"waypoints":[{"hint":"pwkCgP___38sAAAAZwAAAAAAAAAAAAAAlh80QilhaUIAAAAAAAAAACwAAABnAAAAAAAAAAAAAAArAAAAvD-n_HNI6_34P6f8nUjr_QAA_xNldOdz","distance":7.194865,"name":"Ramón Masini","location":[-56.148036,-34.912141]},{"hint":"JBMCgP___38iAAAAVgAAAAAAAAAAAAAA5oAIQjBlT0IAAAAAAAAAACIAAABWAAAAAAAAAAAAAAArAAAAvC-n_G0_6_2iL6f8KT_r_QAAvwZldOdz","distance":7.908907,"name":"Bulevar España","location":[-56.152132,-34.914451]}]}
MULTIPOINT ((-56.1473919256649 -34.9126772799729))*320*MULTIPOINT ((-56.1521578242584 -34.9145193786522))* 182*http://localhost:5000/route/v1/driving/-56.1473919256649,-34.9126772799729;-56.1521578242584,-34.9145193786522                                                    *{"code":"Ok","routes":[{"geometry":"l{atEnhuuIaEhEPDrHxHdBqAhCrI{@~EPDPgA","legs":[{"steps":[],"distance":767.9,"duration":100.2,"summary":"","weight":101.2}],"distance":767.9,"duration":100.2,"weight_name":"routability","weight":101.2}],"waypoints":[{"hint":"9QkCgP___38vAAAASQAAAAAAAAANAAAATik7QveazkEAAAAAl4dJQS8AAABJAAAAAAAAAA0AAAArAAAAEEKn_DlG6_1AQqf8W0br_QAA_xNldOdz","distance":5.784727,"name":"Ramón Masini","location":[-56.14744,-34.912711]},{"hint":"JBMCgP___38iAAAAVgAAAAAAAAAAAAAA5oAIQjBlT0IAAAAAAAAAACIAAABWAAAAAAAAAAAAAAArAAAAvC-n_G0_6_2iL6f8KT_r_QAAvwZldOdz","distance":7.908907,"name":"Bulevar España","location":[-56.152132,-34.914451]}]}
MULTIPOINT ((-56.1548237204998 -34.905686405281)) *54*MULTIPOINT ((-56.1521578242584 -34.9145193786522))* 182*http://localhost:5000/route/v1/driving/-56.1548237204998,-34.905686405281;-56.1521578242584,-34.9145193786522                                                     *{"code":"Ok","routes":[{"geometry":"vo`tElwvuIrOkFfDvJPEjHmG`TiWlA~D{@~EPDPgA","legs":[{"steps":[],"distance":1493.2,"duration":177.3,"summary":"","weight":178.3}],"distance":1493.2,"duration":177.3,"weight_name":"routability","weight":178.3}],"waypoints":[{"hint":"nQ4CgJhCAIBWAAAAKwAAAAAAAAAAAAAA8FisQqsTLEIAAAAAAAAAAFYAAAArAAAAAAAAAAAAAAArAAAAvSSn_IZh6_04Jaf8qmHr_QAADwpldOdz","distance":11.927424,"name":"Avenida Doctor Francisco Soca","location":[-56.154947,-34.905722]},{"hint":"JBMCgP___38iAAAAVgAAAAAAAAAAAAAA5oAIQjBlT0IAAAAAAAAAACIAAABWAAAAAAAAAAAAAAArAAAAvC-n_G0_6_2iL6f8KT_r_QAAvwZldOdz","distance":7.908907,"name":"Bulevar España","location":[-56.152132,-34.914451]}]}
MULTIPOINT ((-56.1580804484719 -34.9106480647418))*26*MULTIPOINT ((-56.1521578242584 -34.9145193786522))* 182*http://localhost:5000/route/v1/driving/-56.1580804484719,-34.9106480647418;-56.1521578242584,-34.9145193786522                                                    *{"code":"Ok","routes":[{"geometry":"vnatExjwuIfGhLzE}Sh@gAH{AvBsK`BsJ","legs":[{"steps":[],"distance":1029.6,"duration":120.4,"summary":"","weight":120.4}],"distance":1029.6,"duration":120.4,"weight_name":"routability","weight":120.4}],"waypoints":[{"hint":"9g4CgP___38UAAAAKQAAAAAAAAAYAAAADuekQTgVokEAAAAAnim9QRQAAAApAAAAAAAAABgAAAArAAAAnhin_ChO6_2AGKf8SE7r_QAAjw5ldOdz","distance":4.485132,"name":"Libertad","location":[-56.15805,-34.91068]},{"hint":"JBMCgP___38iAAAAVgAAAAAAAAAAAAAA5oAIQjBlT0IAAAAAAAAAACIAAABWAAAAAAAAAAAAAAArAAAAvC-n_G0_6_2iL6f8KT_r_QAAvwZldOdz","distance":7.908907,"name":"Bulevar España","location":[-56.152132,-34.914451]}]}
MULTIPOINT ((-56.1628784653004 -34.911919992704)) *1540*MULTIPOINT ((-56.1521578242584 -34.9145193786522))* 182*http://localhost:5000/route/v1/driving/-56.1628784653004,-34.911919992704;-56.1521578242584,-34.9145193786522                                                     *{"code":"Ok","routes":[{"geometry":"pvatErixuImDPvK_f@h@gAH{AvBsK`BsJ","legs":[{"steps":[],"distance":1165.7,"duration":134.1,"summary":"","weight":134.1}],"distance":1165.7,"duration":134.1,"weight_name":"routability","weight":134.1}],"waypoints":[{"hint":"DxQCgP___38xAAAAbQAAAAAAAAAAAAAAqxhHQtsSbEIAAAAAAAAAADEAAABtAAAAAAAAAAAAAAArAAAAYAWn_ElJ6_3CBaf8UEnr_QAAPxZldOdz","distance":8.988212,"name":"Bulevar General Artigas","location":[-56.162976,-34.911927]},{"hint":"JBMCgP___38iAAAAVgAAAAAAAAAAAAAA5oAIQjBlT0IAAAAAAAAAACIAAABWAAAAAAAAAAAAAAArAAAAvC-n_G0_6_2iL6f8KT_r_QAAvwZldOdz","distance":7.908907,"name":"Bulevar España","location":[-56.152132,-34.914451]}]}
