the_geom*GID*the_geom2*GID2*url*result
MULTIPOINT ((-56.2046510710521 -34.9031268366354))*447*MULTIPOINT ((-56.2019632898583 -34.9034326894455))* 439*http://localhost:5000/route/v1/driving/-56.2046510710521,-34.9031268366354;-56.2019632898583,-34.9034326894455                                                    *{"code":"Ok","routes":[{"geometry":"r_`tEhn`vIrAe@bAbEiCjAk@t@y@gAUu@kAyHqAsFhIcC","legs":[{"steps":[],"distance":803.5,"duration":104.7,"summary":"","weight":104.7}],"distance":803.5,"duration":104.7,"weight_name":"routability","weight":104.7}],"waypoints":[{"hint":"AWUCgP___39IAAAAkQAAAAAAAAADAAAAXW5AQiNDQUIAAAAArqwDQEgAAACRAAAAAAAAAAMAAAArAAAAbWKm_J1r6_2VYqb8qWvr_QAA_wlldOdz","distance":3.889829,"name":"Juan Carlos Gómez","location":[-56.204691,-34.903139]},{"hint":"Q2UCgP___390AAAAmwAAAAAAAAAAAAAA1tSaQgt1zEEAAAAAAAAAAHQAAACbAAAAAAAAAAAAAAArAAAAwmym_GJq6_0Vbab8d2rr_QAALwpldOdz","distance":7.933749,"name":"Juncal","location":[-56.202046,-34.903454]}]}
MULTIPOINT ((-56.2030064750591 -34.9045263852339))*791*MULTIPOINT ((-56.2019632898583 -34.9034326894455))* 439*http://localhost:5000/route/v1/driving/-56.2030064750591,-34.9045263852339;-56.2019632898583,-34.9034326894455                                                    *{"code":"Ok","routes":[{"geometry":"hh`tExc`vIkAn@_HlCBvDu@Xq@wEqAsFhIcC","legs":[{"steps":[],"distance":752.8,"duration":105.8,"summary":"","weight":114.2}],"distance":752.8,"duration":105.8,"weight_name":"routability","weight":114.2}],"waypoints":[{"hint":"JGUCgP___39HAAAAjgAAAAAAAAAHAAAAMiQ9QjIkPUIAAAAAYR2UQEcAAACOAAAAAAAAAAcAAAArAAAAA2mm_DJm6_0Caab8Mmbr_QAAvxRldOdz","distance":0.091373,"name":"Bartolomé Mitre","location":[-56.203005,-34.904526]},{"hint":"Q2UCgP___390AAAAmwAAAAAAAAAAAAAA1tSaQgt1zEEAAAAAAAAAAHQAAACbAAAAAAAAAAAAAAArAAAAwmym_GJq6_0Vbab8d2rr_QAALwpldOdz","distance":7.933749,"name":"Juncal","location":[-56.202046,-34.903454]}]}
MULTIPOINT ((-56.2037051320068 -34.9033473696964))*793*MULTIPOINT ((-56.2019632898583 -34.9034326894455))* 439*http://localhost:5000/route/v1/driving/-56.2037051320068,-34.9033473696964;-56.2019632898583,-34.9034326894455                                                    *{"code":"Ok","routes":[{"geometry":"x``tEzg`vI{Bz@BvDu@Xq@wEqAsFhIcC","legs":[{"steps":[],"distance":607,"duration":84,"summary":"","weight":92.4}],"distance":607,"duration":84,"weight_name":"routability","weight":92.4}],"waypoints":[{"hint":"LmUCgP___3-MAAAAlwAAAAAAAAAAAAAAuSi7QlPm1UAAAAAAAAAAAIwAAACXAAAAAAAAAAAAAAArAAAAeGam_N1q6_1HZqb8zWrr_QAAHxVldOdz","distance":4.816303,"name":"Bartolomé Mitre","location":[-56.203656,-34.903331]},{"hint":"Q2UCgP___390AAAAmwAAAAAAAAAAAAAA1tSaQgt1zEEAAAAAAAAAAHQAAACbAAAAAAAAAAAAAAArAAAAwmym_GJq6_0Vbab8d2rr_QAALwpldOdz","distance":7.933749,"name":"Juncal","location":[-56.202046,-34.903454]}]}
MULTIPOINT ((-56.2011451870391 -34.9054770544937))*436*MULTIPOINT ((-56.2019632898583 -34.9034326894455))* 439*http://localhost:5000/route/v1/driving/-56.2011451870391,-34.9054770544937;-56.2019632898583,-34.9034326894455                                                    *{"code":"Ok","routes":[{"geometry":"jn`tEpx_vIWJiAoFuNbGx@xDbCq@","legs":[{"steps":[],"distance":602.8,"duration":87.8,"summary":"","weight":87.8}],"distance":602.8,"duration":87.8,"weight_name":"routability","weight":87.8}],"waypoints":[{"hint":"-GQCgP___39FAAAAWgAAAC0AAAAAAAAAHC84QptVWkFlP-xBAAAAAEUAAABaAAAALQAAAAAAAAArAAAAAnCm_GZi6_1HcKb8e2Lr_QIAPxVldOdz","distance":6.721418,"name":"Juncal","location":[-56.201214,-34.905498]},{"hint":"Q2UCgP___390AAAAmwAAAAAAAAAAAAAA1tSaQgt1zEEAAAAAAAAAAHQAAACbAAAAAAAAAAAAAAArAAAAwmym_GJq6_0Vbab8d2rr_QAALwpldOdz","distance":7.933749,"name":"Juncal","location":[-56.202046,-34.903454]}]}
MULTIPOINT ((-56.2031761624543 -34.9061447932793))*780*MULTIPOINT ((-56.2019632898583 -34.9034326894455))* 439*http://localhost:5000/route/v1/driving/-56.2031761624543,-34.9061447932793;-56.2019632898583,-34.9034326894455                                                    *{"code":"Ok","routes":[{"geometry":"lr`tE~d`vItH{Ck@aD{@{CYYWmJKUQKaCDONKj@DrCkBLsQpHx@xDbCq@","legs":[{"steps":[],"distance":1315.3,"duration":162.9,"summary":"","weight":162.9}],"distance":1315.3,"duration":162.9,"weight_name":"routability","weight":162.9}],"waypoints":[{"hint":"G1MAgP___38VAAAAkQAAAAAAAACdAAAAwv5nQbqTo0IAAAAAWSzQQhUAAACRAAAAAAAAAJ0AAAArAAAAPGim_NZf6_1YaKb831_r_QAA3wlldOdz","distance":2.746372,"name":"Juan Carlos Gómez","location":[-56.203204,-34.906154]},{"hint":"Q2UCgP___390AAAAmwAAAAAAAAAAAAAA1tSaQgt1zEEAAAAAAAAAAHQAAACbAAAAAAAAAAAAAAArAAAAwmym_GJq6_0Vbab8d2rr_QAALwpldOdz","distance":7.933749,"name":"Juncal","location":[-56.202046,-34.903454]}]}
MULTIPOINT ((-56.2005600621251 -34.9041974408216))*787*MULTIPOINT ((-56.2019632898583 -34.9034326894455))* 439*http://localhost:5000/route/v1/driving/-56.2005600621251,-34.9041974408216;-56.2019632898583,-34.9034326894455                                                    *{"code":"Ok","routes":[{"geometry":"bf`tEbt_vIoIlDx@xDbCq@","legs":[{"steps":[],"distance":371.5,"duration":50.4,"summary":"","weight":50.4}],"distance":371.5,"duration":50.4,"weight_name":"routability","weight":50.4}],"waypoints":[{"hint":"72QCgP___38uAAAAQQAAAAAAAAAAAAAAFAc7Qo8-kEEAAAAAAAAAAC4AAABBAAAAAAAAAAAAAAArAAAAzXKm_I9n6_2Qcqb8e2fr_QAALxVldOdz","distance":5.99915,"name":"Ciudadela","location":[-56.200499,-34.904177]},{"hint":"Q2UCgP___390AAAAmwAAAAAAAAAAAAAA1tSaQgt1zEEAAAAAAAAAAHQAAACbAAAAAAAAAAAAAAArAAAAwmym_GJq6_0Vbab8d2rr_QAALwpldOdz","distance":7.933749,"name":"Juncal","location":[-56.202046,-34.903454]}]}
MULTIPOINT ((-56.2138249017594 -34.9080648930339))*406*MULTIPOINT ((-56.2019632898583 -34.9034326894455))* 439*http://localhost:5000/route/v1/driving/-56.2138249017594,-34.9080648930339;-56.2019632898583,-34.9034326894455                                                    *{"code":"Ok","routes":[{"geometry":"h~`tE~fbvIrFkBt@lDiCJiMjEc@KkG_VS_By@oCkEwRk@{AyC}DuAyIqAsFhIcC","legs":[{"steps":[],"distance":2047.1,"duration":238.2,"summary":"","weight":238.2}],"distance":2047.1,"duration":238.2,"weight_name":"routability","weight":238.2}],"waypoints":[{"hint":"VmQCgP___38jAAAAUAAAAAAAAAAAAAAAoJAMQiGiNEIAAAAAAAAAACMAAABQAAAAAAAAAAAAAAArAAAAAT-m_HJY6_2_Pqb8X1jr_QAADwpldOdz","distance":6.388389,"name":"Juan Lindolfo Cuestas","location":[-56.213759,-34.908046]},{"hint":"Q2UCgP___390AAAAmwAAAAAAAAAAAAAA1tSaQgt1zEEAAAAAAAAAAHQAAACbAAAAAAAAAAAAAAArAAAAwmym_GJq6_0Vbab8d2rr_QAALwpldOdz","distance":7.933749,"name":"Juncal","location":[-56.202046,-34.903454]}]}
MULTIPOINT ((-56.2133258457883 -34.9068716512386))*758*MULTIPOINT ((-56.2019632898583 -34.9034326894455))* 439*http://localhost:5000/route/v1/driving/-56.2133258457883,-34.9068716512386;-56.2019632898583,-34.9034326894455                                                    *{"code":"Ok","routes":[{"geometry":"`w`tEddbvIz@fDiEvAcFwRS_By@oCkEwRk@{AmCgDc@}A}@qGqAsFhIcC","legs":[{"steps":[],"distance":1596.5,"duration":185.8,"summary":"","weight":185.8}],"distance":1596.5,"duration":185.8,"weight_name":"routability","weight":185.8}],"waypoints":[{"hint":"_WMCgP___38WAAAAkwAAAAAAAAAAAAAAbFpzQXWfpUIAAAAAAAAAABYAAACTAAAAAAAAAAAAAAArAAAAvkCm_PJc6_2yQKb8CF3r_QAAbw9ldOdz","distance":2.67559,"name":"Piedras","location":[-56.213314,-34.906894]},{"hint":"Q2UCgP___390AAAAmwAAAAAAAAAAAAAA1tSaQgt1zEEAAAAAAAAAAHQAAACbAAAAAAAAAAAAAAArAAAAwmym_GJq6_0Vbab8d2rr_QAALwpldOdz","distance":7.933749,"name":"Juncal","location":[-56.202046,-34.903454]}]}
MULTIPOINT ((-56.2121832451139 -34.906584291769)) *759*MULTIPOINT ((-56.2019632898583 -34.9034326894455))* 439*http://localhost:5000/route/v1/driving/-56.2121832451139,-34.906584291769;-56.2019632898583,-34.9034326894455                                                     *{"code":"Ok","routes":[{"geometry":"~t`tEt|avIxAg@bAfEkHrCaD{LS_By@oCkEwRk@{AmCgDc@}A}@qGqAsFhIcC","legs":[{"steps":[],"distance":1632.1,"duration":192.3,"summary":"","weight":192.3}],"distance":1632.1,"duration":192.3,"weight_name":"routability","weight":192.3}],"waypoints":[{"hint":"t2MCgP___38RAAAAYQAAAAsAAAAAAAAAi_U4QR0aVELF1OpAAAAAABEAAABhAAAACwAAAAAAAAArAAAAcUWm_D1e6_0pRab8KF7r_QEADwpldOdz","distance":6.979193,"name":"Maciel","location":[-56.212111,-34.906563]},{"hint":"Q2UCgP___390AAAAmwAAAAAAAAAAAAAA1tSaQgt1zEEAAAAAAAAAAHQAAACbAAAAAAAAAAAAAAArAAAAwmym_GJq6_0Vbab8d2rr_QAALwpldOdz","distance":7.933749,"name":"Juncal","location":[-56.202046,-34.903454]}]}
MULTIPOINT ((-56.2114435324665 -34.9081495557198))*761*MULTIPOINT ((-56.2019632898583 -34.9034326894455))* 439*http://localhost:5000/route/v1/driving/-56.2114435324665,-34.9081495557198;-56.2019632898583,-34.9034326894455                                                    *{"code":"Ok","routes":[{"geometry":"z~`tEhxavIhLaEmPev@{@{CYY[yJc@W{BHWn@D|CkBLsQpHx@xDbCq@","legs":[{"steps":[],"distance":2167.2,"duration":254,"summary":"","weight":254}],"distance":2167.2,"duration":254,"weight_name":"routability","weight":254}],"waypoints":[{"hint":"PGQCgP___38-AAAAkQAAAAAAAAAAAAAAAj0nQhS7WUIAAAAAAAAAAD4AAACRAAAAAAAAAAAAAAArAAAALEim_BNY6_0MSKb8Cljr_QAADwpldOdz","distance":3.089717,"name":"Maciel","location":[-56.211412,-34.908141]},{"hint":"Q2UCgP___390AAAAmwAAAAAAAAAAAAAA1tSaQgt1zEEAAAAAAAAAAHQAAACbAAAAAAAAAAAAAAArAAAAwmym_GJq6_0Vbab8d2rr_QAALwpldOdz","distance":7.933749,"name":"Juncal","location":[-56.202046,-34.903454]}]}
